,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind
499,tefe,-3.35,-64.71,74.31,97,66,1.48
500,mbanza-ngungu,-5.25,14.87,63.87,90,0,2.04
501,nova esperanca,4.44,-61.12,65.31,98,97,2.24
502,high level,58.52,-117.13,51.8,66,90,6.93
503,pelileo,-1.33,-78.55,48.2,93,75,12.75
504,dangriga,16.97,-88.23,80.01,11,100,5.99
505,sarangani,5.4,125.46,83.85,67,83,1.88
506,kayunga,0.7,32.9,63.15,91,100,1.16
507,kushikino,31.72,130.27,87.01,74,75,6.93
508,sol-iletsk,51.16,55.0,55.23,62,0,12.35
509,chabahar,25.29,60.65,78.8,83,75,6.93
510,takestan,36.07,49.69,62.6,48,0,6.93
511,luis correia,-2.88,-41.67,73.77,96,36,2.15
512,umm lajj,25.02,37.27,87.09,69,0,13.67
513,baicheng,45.61,122.87,73.0,38,0,1.01
514,leon,40.74,-93.75,75.2,94,1,6.93
515,abalak,15.46,6.28,89.61,38,82,14.79
516,bemidji,47.48,-94.89,69.8,93,1,6.93
517,cabra,37.47,-4.43,64.4,42,0,5.82
518,sola,62.78,29.36,59.0,77,0,2.24
519,winneba,5.35,-0.62,77.0,94,75,6.93
520,redcliffe,51.45,-2.59,54.0,93,90,9.17
521,gizo,31.8,34.94,78.01,69,0,3.36
522,palu,-0.9,119.87,86.01,61,96,4.27
523,praia,-20.25,-43.81,60.8,72,0,5.82
524,hadejia,12.45,10.04,94.29,35,100,17.65
525,tautira,-17.73,-149.15,84.2,66,20,12.75
526,taseyevo,57.22,94.9,74.49,38,13,0.74
527,mount gambier,-37.83,140.78,51.8,71,90,10.29
528,astara,38.42,48.87,62.6,100,40,1.05
529,guerrero negro,27.97,-114.04,65.49,87,0,12.19
530,dzhebariki-khaya,62.22,135.8,77.19,29,55,4.07
531,santa isabel do rio negro,-0.41,-65.02,74.49,97,100,1.68
532,freeport,26.54,-78.7,82.05,75,50,12.46
533,nelson bay,-32.72,152.14,55.0,87,100,6.93
534,ajdabiya,30.75,20.22,69.99,69,0,8.99
535,petropavlovsk-kamchatskiy,53.05,158.65,51.8,87,75,8.95
536,kloulklubed,7.04,134.26,84.2,74,75,8.05
537,yenagoa,4.92,6.26,74.31,97,100,3.53
538,gorontalo,0.54,123.06,86.73,60,100,5.77
